Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
22,754,800,Air,0.05,Leather scraps,Marble dust,5.0,27.0,4
23,768,800,Air,0.05,Leather scraps,Marble dust,5.0,27.0,4
24,784,800,Air,0.05,Leather scraps,Marble dust,5.0,27.0,4
25,797,800,Air,0.05,Leather scraps,Marble dust,5.0,27.0,4
26,800,800,Air,0.05,Leather scraps,Marble dust,5.0,28.0,4
27,800,800,Air,0.05,Leather scraps,Marble dust,5.0,29.0,4
28,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
29,800,800,Air,0.05,Leather scraps,Marble dust,5.0,31.0,4
30,800,800,Air,0.05,Leather scraps,Marble dust,5.0,31.0,4
31,800,800,Air,0.05,Leather scraps,Marble dust,5.0,31.0,4
32,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
33,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
34,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
35,800,800,Air,0.05,Leather scraps,Marble dust,5.0,31.0,4
36,800,800,Air,0.05,Leather scraps,Marble dust,5.0,31.0,4
37,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
38,800,800,Air,0.05,Leather scraps,Marble dust,5.0,30.0,4
39,800,800,Air,0.05,Leather scraps,Marble dust,5.0,29.0,4
40,800,800,Air,0.05,Leather scraps,Marble dust,5.0,28.0,4
41,800,800,Air,0.05,Leather scraps,Marble dust,5.0,25.0,4
42,800,800,Air,0.05,Leather scraps,Marble dust,5.0,23.0,4
43,800,800,Air,0.05,Leather scraps,Marble dust,5.0,22.0,4
44,800,800,Air,0.05,Leather scraps,Marble dust,5.0,21.0,4
45,800,800,Air,0.05,Leather scraps,Marble dust,5.0,20.0,4
46,800,800,Air,0.05,Leather scraps,Marble dust,5.0,19.0,4
47,800,800,Air,0.05,Leather scraps,Marble dust,5.0,18.0,4
